,Name,State,Location,Date Formed,Area,Description
87,Ottawa,Michigan,﻿46.450°N 89.250°W,"January 27, 1931","990,961 acres (4,010.3 km2)","Located in the Upper Peninsula of Michigan, Ottawa National Forest stretches from Lake Superior to the Wisconsin border. There are 500 named lakes, nearly 2,000 mi (3,200 km) of streams, and three wilderness areas in the forest.[94]"
88,Ouachita,"Arkansas, Oklahoma",﻿34.633°N 94.067°W,"December 18, 1907","1,785,468 acres (7,225.5 km2)","Including the namesake Ouachita Mountains, this forest has nearly 800,000 acres (320,000 ha) of old-growth forest. The forest has two wilderness areas: Black Fork Mountain and Upper Kiamichi River.[95]"
89,Ozark-St. Francis,Arkansas,﻿35.700°N 93.350°W,"March 5, 1908","1,153,374 acres (4,667.5 km2)","Ozark-St. Francis National Forest has more than 400 mi (640 km) of trails, including the Ozark Highlands Trail. Blanchard Springs Caverns is a three level cave system that is open for public tours.[96]"
90,Payette,Idaho,﻿45.083°N 115.800°W,"June 3, 1905","2,326,779 acres (9,416.1 km2)",Payette National Forest includes the Seven Devils Mountains and part of the Frank Church—River of No Return Wilderness. It also borders Hells Canyon to the west and contains the Brundage Mountain ski area.[31]:183–187[97]
91,Pike,Colorado,﻿39.167°N 105.450°W,"February 11, 1892","1,096,146 acres (4,435.9 km2)","Pike National Forest includes Pikes Peak at an elevation of 14,115 ft (4,302 m) and three wilderness areas. Since 1975 the forest has been managed together with San Isabel National Forest.[98]"
92,Pisgah,North Carolina,﻿35.800°N 82.333°W,"October 17, 1916","509,283 acres (2,061.0 km2)","Elevations in Pisgah National Forest reach over 6,000 ft (1,800 m), and there are 46,600 acres (18,900 ha) of old-growth forests, including 10,000 acres (4,000 ha) in Linville Gorge. There are three wilderness areas in the forest: Linville Gorge, Middle Prong, and Shining Rock.[39]"
93,Plumas,California,﻿39.933°N 120.817°W,"March 27, 1905","1,189,554 acres (4,814.0 km2)","There are 127,000 acres (51,000 ha) of old-growth forest in Plumas National Forest.[99] The Little Grass Valley Recreation Area surrounds Little Grass Valley Reservoir and includes a campground and boat launch, among other facilities and services.[100]"
94,Prescott,Arizona,﻿34.583°N 112.600°W,"May 10, 1898","1,257,005 acres (5,086.9 km2)",Vegetation in Prescott National Forest ranges from that characteristic of the Sonoran Desert at lower elevations to Ponderosa pine at higher elevations. There are eight wilderness areas and 450 mi (720 km) of trails in the forest[101]
95,Rio Grande,Colorado,﻿37.717°N 106.617°W,"July 1, 1908","1,837,661 acres (7,436.8 km2)","The headwaters of the Rio Grande are in the San Juan Mountains in the western part of the forest, while the Sangre de Cristo Mountains form the eastern boundary. Elevations reach 14,345 ft (4,372 m) at the summit of Blanca Peak, overlooking the San Luis Valley and Great Sand Dunes National Park.[102]"
96,Rogue River-Siskiyou,"Oregon, California",﻿41.967°N 123.133°W,"September 28, 1893","1,718,893 acres (6,956.1 km2)","This forest ranges from the Cascade Range to the Siskiyou Mountains, and the Rogue River drains over 75% of the forest’s area. There are parts of eight wilderness areas in the forest as well as what may be the world’s tallest pine tree, a ponderosa pine that is 268.35 ft (81.79 m) tall.[103][104]"
97,Roosevelt,Colorado,﻿40.533°N 105.583°W,"May 22, 1902","814,090 acres (3,294.5 km2)","Located in the Rocky Mountains of northern Colorado, Roosevelt National Forest has part of six wilderness areas. It is managed together with Arapaho National Forest and Pawnee National Grassland.[15]"
98,Sabine,Texas,﻿31.500°N 93.867°W,"October 13, 1936","161,088 acres (651.9 km2)",Sabine National Forest borders the western side of Toledo Bend Reservoir and has 28 mi (45 km) of trails. The forest’s only wilderness area is the Indian Mounds Wilderness. Old-growth forest can be found in the wilderness and at Mill Creek Cove along the reservoir’s shores.[12]:312–316[42]
99,Salmon-Challis,Idaho,﻿45.117°N 114.150°W,"July 1, 1908","4,226,973 acres (17,106.0 km2)","Salmon-Challis National Forest includes parts of both the Salmon River and the Frank Church—River of No Return Wilderness. Idaho’s highest point, Borah Peak at 12,662 ft (3,859 m), is located in the Lost River Range in the forest.[105]"
100,Sam Houston,Texas,﻿30.533°N 95.350°W,"October 13, 1936","163,264 acres (660.7 km2)","Part of the Lone Star Trail travels through Sam Houston National Forest, which borders parts of Lake Conroe and Lake Livingston. The Little Lake Creek Wilderness is the only wilderness area in the forest.[42]"
101,Samuel R. McKelvie,Nebraska,﻿42.717°N 101.033°W,"October 15, 1971","115,847 acres (468.8 km2)","Located in the Sandhills of Nebraska, Samuel R. McKelvie National Forest is a combination of prairie and trees planted since 1903, of which ponderosa pine has been most successful.[12]:243–244[88]"
102,San Bernardino,California,﻿34.050°N 116.950°W,"February 25, 1893","678,980 acres (2,747.7 km2)",San Bernardino National Forest includes part of the Santa Rosa and San Jacinto Mountains National Monument. The forest surrounds Lake Arrowhead and other reservoirs.[106]
103,San Isabel,Colorado,﻿38.400°N 105.933°W,"April 11, 1902","1,108,639 acres (4,486.5 km2)","There are 19 of Colorado’s 54 fourteeners in San Isabel National Forest, including the highest point, Mount Elbert at 14,440 ft (4,400 m). The forest includes the Sawatch Range, Collegiate Peaks, and Sangre de Cristo Range and is managed together with Pike National Forest.[98]"
104,San Juan,Colorado,﻿37.500°N 107.650°W,"June 3, 1905","1,864,595 acres (7,545.7 km2)","San Juan National Forest includes Chimney Rock National Monument and elevations that range from 5,000 ft (1,500 m) to over 14,000 ft (4,300 m). The forest’s Weminuche Wilderness is the largest in Colorado at 499,771 acres (202,250 ha).[107]"
105,Santa Fe,New Mexico,﻿35.900°N 106.217°W,"January 11, 1892","1,544,748 acres (6,251.4 km2)","Santa Fe National Forest’s highest point is Truchas Peak at 13,103 ft (3,994 m) in the Pecos Wilderness. There are 1,002 mi (1,613 km) of trails in the forest, which includes the Valles Caldera National Preserve.[108]"
106,Sawtooth,"Idaho, Utah",﻿41.900°N 113.483°W,"May 29, 1905","1,802,133 acres (7,293.0 km2)","Sawtooth National Forest includes over 1,100 lakes, 1,000 mi (1,600 km) of trails and roads, and ten mountain ranges, with the highest point at 12,009 ft (3,660 m) on Hyndman Peak. The forest includes Sawtooth National Recreation Area, the Sawtooth Range, Sawtooth Wilderness, four ski areas, and four endemic species, being found nowhere else in the world.[109]"
107,Sequoia,California,﻿36.050°N 118.517°W,"July 1, 1908","1,139,240 acres (4,610.3 km2)","Sequoia National Forest includes Giant Sequoia National Monument, both named for the giant sequoia, the largest tree species in the world. There are 2,500 mi (4,000 km) of maintained and abandoned roads and 850 mi (1,370 km) of trails in the forest, including the Pacific Crest Trail.[110]"
108,Shasta-Trinity,California,﻿41.133°N 122.200°W,"April 26, 1905","2,229,286 acres (9,021.6 km2)","There are 6,278 mi (10,103 km) of streams in the forest, and elevations range from 1,000 ft (300 m) to 14,179 ft (4,322 m) on Mount Shasta. Five wilderness areas and 460 mi (740 km) of trails can be found in the forest.[111]"
109,Shawnee,Illinois,﻿37.500°N 88.800°W,"September 6, 1939","273,482 acres (1,106.7 km2)","As Illinois’s only National Forest, Shawnee is located in the southern part of the state and contains seven wilderness areas, including the Garden of the Gods. Among the many miles of hiking trails in the forest is the River to River Trail, which is 160 mi (260 km) long.[112]"
110,Shoshone,Wyoming,﻿44.033°N 109.533°W,"March 30, 1891","2,439,093 acres (9,870.7 km2)","Located in the Greater Yellowstone Ecosystem, this forest includes part of the Absaroka, Beartooth, and Wind River mountain ranges. Five wilderness areas make up 56% of the forest, and elevations reach 13,804 ft (4,207 m) at Gannett Peak, the highest point in Wyoming.[113]"
111,Sierra,California,﻿37.267°N 119.200°W,"February 14, 1893","1,311,231 acres (5,306.4 km2)","Sierra National Forest is located on the western slope of the Sierra Nevada and elevations reach 13,986 ft (4,263 m). There are 1,800 mi (2,900 km) of streams, 480 lakes, 11 reservoirs, and 63 campgrounds in the forest.[31]:137–143[114]"
112,Siuslaw,Oregon,﻿44.533°N 123.883°W,"July 1, 1908","630,291 acres (2,550.7 km2)","Siuslaw National Forest includes Oregon Dunes National Recreation Area, three wilderness areas, and Cascade Head Scenic Research Area among the Central Oregon Coast Range. Marys Peak Scenic Botanical Area includes Marys Peak, which at 4,097 ft (1,249 m) is the forest’s highest point.[115]"
113,Six Rivers,California,﻿40.350°N 123.600°W,"July 1, 1947","977,090 acres (3,954.1 km2)","Six Rivers National Forest was named for the Smith, Klamath, Trinity, Mad, Van Duzen, and Eel rivers. The forest includes the Salmon River system, all of which has been designated a National Wild and Scenic River.[116]"
114,Stanislaus,California,﻿38.167°N 120.017°W,"February 22, 1897","899,427 acres (3,639.9 km2)","Stanislaus National Forest has over 800 mi (1,300 km) of streams and four wilderness areas, including the Carson-Iceberg Wilderness. The Emigrant Wilderness borders the northwest corner of Yosemite National Park.[31]:147–150[117]"
115,Sumter,South Carolina,﻿34.000°N 82.250°W,"July 13, 1936","372,778 acres (1,508.6 km2)","Sumter National Forest contains 22 waterfalls with drops ranging from 12 ft (3.7 m) to 150 ft (46 m) and part of the Ellicott Rock Wilderness, the only wilderness located in three states.[52]"
116,Superior,Minnesota,﻿47.833°N 91.517°W,"February 13, 1909","2,092,767 acres (8,469.1 km2)","Superior National Forest includes the Boundary Waters Canoe Area Wilderness, which has over 1,500 mi (2,400 km) of canoe routes, 1,000 lakes, and 2,200 designated campsites. Eagle Mountain, the highest point in Minnesota at 2,301 ft (701 m), is also in the forest.[118]"
117,Tahoe,California,﻿39.383°N 120.533°W,"April 13, 1899","872,981 acres (3,532.8 km2)","Tahoe National Forest is in the Sierra Nevada northwest of Lake Tahoe. Part of the Granite Chief Wilderness is within the forest. The Middle Fork of the American, Yuba, and North Yuba rivers cross or border the forest.[31]:151–156[119]"
118,Talladega,Alabama,﻿33.433°N 85.850°W,"July 17, 1936","393,006 acres (1,590.4 km2)",Talladega National Forest includes the Cheaha and Dugger Mountain wilderness areas. The Talladega Scenic Byway and Pinhoti National Recreation Trail cross the forest. Talladega is managed together with Alabama’s other National Forests.[8]:8–11[37]
119,Tombigbee,Mississippi,﻿33.933°N 88.933°W,"November 27, 1959","67,468 acres (273.0 km2)","Located in northeastern Mississippi, Tombigbee National Forest covers rolling hills that were abandoned farmland before the forest was established. It is managed together with Mississippi’s other National Forests.[18]"
120,Tongass,Alaska,﻿56.800°N 133.900°W,"September 10, 1907","16,748,360 acres (67,778.2 km2)","The largest National Forest, Tongass spans 500 mi (800 km) in southeast Alaska from the Canada–US border to the Pacific Ocean. Nearly one-third of the forest is covered by 19 wilderness areas. The forest includes Misty Fiords and Admiralty Island National Monuments.[120]"
121,Tonto,Arizona,﻿33.867°N 111.283°W,"October 3, 1905","2,866,663 acres (11,601.0 km2)",Tonto National Forest stretches from the Sonoran Desert to the pine forests at the Mogollon Rim. There are eight wilderness areas and several lakes and reservoirs in the forest[121]
122,Tuskegee,Alabama,﻿32.467°N 85.600°W,"November 27, 1959","11,349 acres (45.9 km2)",Tuskegee National Forest’s Bartram National Recreation Trail was Alabama’s first National Recreation Trail. Tuskegee is one of the smallest National Forests and is managed together with Alabama’s other National Forests.[37]
123,Uinta-Wasatch-Cache,"Utah, Wyoming, Idaho",﻿41.250°N 111.433°W,"February 22, 1897","2,492,404 acres (10,086.4 km2)","There are nine wilderness areas in the forest, which occupies part of the Wasatch and Uinta mountains. Mount Nebo and Mount Timpanogos are located in wilderness areas at the edge of the Wasatch Front.[31]:302–309[122]"
124,Umatilla,"Oregon, Washington",﻿45.633°N 118.183°W,"July 1, 1908","1,405,898 acres (5,689.5 km2)","Located in the Blue Mountains of northeastern Oregon, Umatilla National Forest includes three wilderness areas, occupying over 20% of the forest. The forest has over 715 mi (1,151 km) of trails, 2,000 mi (3,200 km) of roads, and one of the largest elk herds of any National Forest.[123]"
125,Umpqua,Oregon,﻿43.217°N 122.583°W,"March 2, 1907","986,120 acres (3,990.7 km2)","Umpqua National Forest is in the Cascade Range of southwestern Oregon and includes three wilderness areas. Watson Falls is a waterfall that is 272 ft (83 m) high on Watson Creek, a tributary of the Clearwater River.[124]"
126,Uncompahgre,Colorado,﻿38.267°N 108.117°W,"June 14, 1905","951,767 acres (3,851.7 km2)",The northern portion of the San Juan Mountains and the Uncompahgre Plateau are located in this National Forest. The forest also contains Uncompahgre Gorge and three wilderness areas.[58]
127,Uwharrie,North Carolina,﻿35.400°N 79.933°W,"January 12, 1961","51,218 acres (207.3 km2)",Uwharrie National Forest borders the eastern side of Badin Lake and has one wilderness area: the Birkhead Mountains Wilderness. The forest is managed together with North Carolina’s other National Forests.[39]
128,Wallowa-Whitman,"Oregon, Idaho",﻿45.217°N 117.517°W,"May 6, 1905","2,261,480 acres (9,151.9 km2)","Wallowa-Whitman National Forest stretches from the Blue Mountains to the Snake River. Elevations range from 875 ft (267 m) in Hells Canyon, the deepest gorge in North America, to 9,845 ft (3,001 m) at the summit of Sacajawea Peak in the Eagle Cap Wilderness Area.[125]"
129,Wayne,Ohio,﻿39.167°N 82.417°W,"October 1, 1951","243,180 acres (984.1 km2)","Ohio’s only National Forest, Wayne is located in the Appalachian foothills and has over 300 mi (480 km) of trails. The North Country Trail passes through several sections of the forest.[126]"
130,White Mountain,"New Hampshire, Maine",﻿44.150°N 71.417°W,"May 16, 1918","761,687 acres (3,082.4 km2)","This National Forest is located in the White Mountains, which the Appalachian Trail and White Mountain Scenic Byway pass through. The forest includes Mount Washington, which at 6,288 ft (1,917 m) is the highest point in the Northeast and the location of the fastest wind speed recorded on earth, although the summit is located in a state park.[127]"
131,White River,Colorado,﻿39.567°N 106.883°W,"October 16, 1891","2,287,495 acres (9,257.2 km2)","White River National Forest has eight wilderness areas, twelve ski resorts, four large reservoirs, 2,500 mi (4,000 km) of trails, 1,900 mi (3,100 km) of roads, and ten peaks higher than 14,000 ft (4,300 m) in elevation.[128]"
132,Willamette,Oregon,﻿44.117°N 122.183°W,"July 1, 1933","1,681,674 acres (6,805.5 km2)","Willamette National Forest is in the Cascade Range, stretching from Mount Jefferson to Mount Washington. About 20% of the forest is designated wilderness, but there are also 6,000 mi (9,700 km) of roads in the forest.[129]"
133,William B. Bankhead,Alabama,﻿34.233°N 87.333°W,"January 15, 1918","181,988 acres (736.5 km2)","This forest contains 153 mi (246 km) of trails and the Sipsey Wilderness, which at 24,922 acres (10,086 ha) is the largest wilderness area east of the Mississippi River. It is managed together with Alabama’s other National Forests.[37]"
